state_abbr,city_norm,median_sqft,p25_sqft,p75_sqft,kaggle_n,median_ppsqft,sqft_range
NC,winston salem,2269.0,2152.5,2644.0,10,127.25021090264977,491.5
NC,winterville,2172.5,1757.75,2583.5,160,137.51382808842143,825.75
NC,woodfin,1273.5,1240.0,2030.0,8,242.95122887864824,790.0
NC,woodland,1717.0,1648.5,1775.5,4,94.14648212226066,127.0
NC,wrightsville beach,1703.5,1064.75,2589.75,30,1027.3996935275568,1525.0
NC,yadkinville,3642.0,3642.0,3642.0,1,247.1169686985173,0.0
NC,yanceyville,2891.0,2891.0,2891.0,1,207.19474230370113,0.0
NC,youngsville,2358.0,1665.0,2637.0,55,197.16890595009596,972.0
NC,zebulon,2026.0,1751.0,2386.0,103,187.2340425531915,635.0
NC,zionville,1050.0,759.0,1374.25,4,249.11234112341123,615.25
NC,zirconia,2372.0,1545.5,4218.0,15,361.794500723589,2672.5
NY,accord,1798.5,1122.0,2095.0,12,261.91645408163265,973.0
NY,acra,2367.0,1777.5,2956.5,2,197.18761216223146,1179.0
NY,adams,1948.5,1137.5,2300.0,10,104.58104762491782,1162.5
NY,adams center,1759.5,1639.75,1825.5,4,125.52677225394498,185.75
NY,addisleigh park,2210.0,1880.0,2326.0,3,367.0967741935484,446.0
NY,addison,1827.5,1492.0,2819.5,12,114.3765666965085,1327.5
NY,afton,1536.0,1245.5,2374.0,23,108.41836734693878,1128.5
NY,airmont,2046.5,1719.0,2734.5,12,358.5250830869222,1015.5
NY,akron,1651.0,1244.25,2272.0,36,101.1585144805386,1027.75
NY,alabama,2096.0,2096.0,2096.0,1,33.349236641221374,0.0
NY,albany,1992.0,1426.0,2668.0,405,106.74157303370787,1242.0
NY,albertson,2556.0,2440.0,2772.0,9,504.12698412698415,332.0
NY,albion,1634.0,1457.25,2805.0,18,47.893198439736125,1347.75
NY,alden,1816.0,1362.5,2338.0,31,163.60410094637223,975.5
NY,alder creek,1182.0,1182.0,1182.0,1,109.13705583756345,0.0
NY,alexander,2132.0,1786.0,2233.5,3,207.63888888888889,447.5
NY,alexandria bay,1767.5,1467.0,1980.0,14,153.62103174603175,513.0
NY,alfred,2108.5,1980.75,2236.25,2,167.70379902531496,255.5
NY,alfred station,2600.0,2040.0,2777.5,3,92.3076923076923,737.5
NY,allegany,2320.0,1071.0,2742.0,9,104.61095100864553,1671.0
NY,alma,2276.0,2276.0,2276.0,1,59.71001757469244,0.0
NY,almond,1185.0,1185.0,1185.0,1,126.49789029535864,0.0
NY,altamont,1712.0,1405.0,2064.0,15,142.88164665523155,659.0
NY,altmar,1710.0,1328.0,1997.5,14,170.20833333333331,669.5
NY,altona,1620.0,1421.0,1728.0,5,100.28149190710766,307.0
NY,amagansett,3656.0,1450.0,5434.0,39,1258.0374615599665,3984.0
NY,amawalk,2795.5,2493.25,3097.75,2,343.84648428061325,604.5
NY,amboy,1196.0,1196.0,1196.0,1,751.5886287625418,0.0
NY,amenia,2195.0,1831.5,3275.5,16,213.76357560568087,1444.0
NY,ames,1392.0,1212.0,1424.0,3,130.42582417582418,212.0
NY,amherst,1531.5,1173.75,2212.25,168,159.38519806790748,1038.5
NY,amity harbor,1632.0,1566.0,1698.0,2,291.1065759637188,132.0
NY,amityville,1740.5,1309.75,2974.0,24,315.66715425531913,1664.25
NY,amsterdam,2106.0,1715.0,2553.5,88,69.40427993059572,838.5
NY,ancram,2275.5,2115.75,3074.25,12,285.10607965370207,958.5
NY,andes,2040.0,1691.0,2923.0,15,179.2929292929293,1232.0
NY,andover,2248.0,1981.5,2460.5,4,86.50810185185185,479.0
NY,angelica,1008.0,720.0,1500.0,5,83.19444444444444,780.0
NY,angola,1704.0,1350.0,2260.0,29,120.18716577540107,910.0
NY,annsville,320.0,320.0,320.0,1,296.875,0.0
NY,antwerp,1836.0,1786.5,2098.5,7,65.87912087912088,312.0
NY,apalachin,1948.0,1475.5,2681.0,31,101.90346702923182,1205.5
NY,appleton,1539.0,1345.0,2082.5,7,133.2888888888889,737.5
NY,apulia station,1404.0,1404.0,1404.0,1,92.52136752136752,0.0
NY,aquebogue,2400.0,2160.0,2620.0,9,331.25,460.0
NY,arcade,1527.0,1464.0,1840.0,13,91.63533834586467,376.0
NY,arden,1376.0,1376.0,1376.0,1,308.8662790697674,0.0
NY,ardsley,2584.0,1905.0,3200.0,9,440.4761904761905,1295.0
NY,argyle,2094.0,1512.0,2443.0,17,119.82570806100217,931.0
NY,arietta,3164.0,2616.0,3712.0,2,177.59668909653925,1096.0
NY,arkport,1634.0,1177.0,2225.5,3,91.18727050183598,1048.5
NY,arkville,625.0,572.5,931.0,3,254.4,358.5
NY,armonk,4280.0,3253.5,7615.5,27,451.31363530053795,4362.0
NY,arverne,2200.0,2008.0,2200.0,13,412.3108665749656,192.0
NY,ashland,2216.0,1602.5,4337.0,7,214.15770609318997,2734.5
NY,ashville,1608.0,1344.0,2327.0,5,205.22388059701493,983.0
NY,astoria,1420.0,711.25,2110.0,48,710.3269230769231,1398.75
NY,athens,2200.0,1444.0,2950.0,35,181.8181818181818,1506.0
NY,atlanta,4713.0,4713.0,4713.0,1,24.612773180564396,0.0
NY,atlantic beach,5500.0,3602.0,7000.0,5,1166.0188784008883,3398.0
NY,attica,1542.0,1442.5,2257.5,12,107.89922880440122,815.0
NY,au sable forks,1914.0,1193.5,3408.0,4,66.2570991699432,2214.5
NY,auburn,1768.0,1468.0,2322.0,121,76.85897435897436,854.0
NY,aurora,2114.5,1503.75,2626.0,20,231.78062655166616,1122.25
NY,austerlitz,2356.0,1435.0,6250.0,10,188.1720430107527,4815.0
NY,ava,1621.0,1393.5,1817.25,4,141.21562934286283,423.75
NY,avoca,1960.0,1831.5,3368.5,7,58.38090295796575,1537.0
NY,avon,2208.0,1719.0,2766.0,9,101.85688405797102,1047.0
NY,babylon,2190.0,1850.25,2721.0,18,393.578431372549,870.75
NY,bainbridge,1746.0,1327.5,2264.0,22,72.06512605042016,936.5
NY,baiting hollow,2196.0,1807.0,3681.0,9,297.48283752860414,1874.0
NY,baldwin,1994.5,1356.5,2364.75,38,352.3434396928373,1008.25
NY,baldwin harbor,5889.5,3834.25,7944.75,2,276.32155705452504,4110.5
NY,baldwinsville,1802.5,1414.5,2362.5,114,141.02694861857165,948.0
NY,ballston lake,2229.0,1868.0,2747.5,110,204.28345352564105,879.5
NY,ballston spa,1815.0,1434.0,2035.0,88,202.42228835978835,601.0
NY,bangor,2087.0,1355.5,2818.5,2,78.09285843264716,1463.0
NY,bardonia,1790.0,1288.0,2596.0,5,304.46927374301674,1308.0
NY,barker,1966.0,1460.0,2727.25,10,62.963746390552814,1267.25
NY,barneveld,2353.0,1484.0,3229.0,5,83.58624961288325,1745.0
NY,barryville,1876.0,1481.0,2037.5,3,191.84434968017058,556.5
NY,barton,1824.0,1760.0,1914.0,3,111.43867924528301,154.0
NY,batavia,1640.0,1328.0,2095.0,38,92.57020264681555,767.0
NY,bath,1484.0,1217.5,1835.0,28,75.96392557330057,617.5
NY,bath beach,650.0,650.0,650.0,1,367.6923076923077,0.0
NY,bath village,2044.0,1934.0,2154.0,2,83.8069942966958,220.0
NY,bay shore,2041.0,1600.0,2400.0,26,285.44871794871796,800.0
NY,bayport,3502.0,1907.0,4075.0,12,310.476184346035,2168.0
NY,bayside,1200.0,900.0,1750.5,132,499.9727626459144,850.5
NY,bayville,2196.0,1695.5,2563.5,7,392.90525370453526,868.0
NY,beacon,1560.5,1188.0,2048.5,80,296.72581845238096,860.5
NY,bearsville,1707.0,1036.0,2252.0,5,435.16873889875666,1216.0
NY,beaver dams,1479.0,1259.0,2123.5,7,119.06274821286736,864.5
NY,bed stuy,3020.0,2248.0,3391.5,20,612.8596884000051,1143.5
NY,bedford,2189.0,1781.75,5052.75,10,414.00316723688223,3271.0
NY,bedford corners,5300.0,3155.25,6495.25,6,517.179184047756,3340.0
NY,bedford hills,5403.5,2137.75,6979.75,8,481.82367079384755,4842.0
NY,beechhurst,1500.0,1100.0,1929.0,29,432.77777777777777,829.0
NY,belfast,1966.0,1367.25,2867.0,4,39.58464407310919,1499.75
NY,belle harbor,1800.0,1607.0,2492.0,9,684.5052893590541,885.0
NY,belle terre,7000.0,4150.0,15000.0,5,421.68674698795184,10850.0
NY,bellerose,1356.0,824.5,1914.0,31,499.5,1089.5
NY,bellerose manor,653.0,653.0,653.0,1,474.7320061255743,0.0
NY,bellerose village,1664.0,1664.0,1664.0,1,516.2259615384615,0.0
NY,belleville,1669.0,1669.0,1669.0,1,77.83103654883163,0.0
NY,bellmore,2350.0,1864.0,2684.0,18,359.35025880294523,820.0
NY,bellport,1758.0,1400.0,1758.0,21,278.7201365187713,358.0
NY,bellport village,2094.0,2094.0,2094.0,1,253.09933142311365,0.0
NY,belmont,2736.0,1524.0,2740.0,5,36.13138686131387,1216.0
NY,bemus point,1574.5,1480.5,2526.75,8,301.29674154658386,1046.25
NY,bergen,1360.0,1336.0,1621.0,3,121.875,285.0
NY,berkshire,2031.0,1836.0,2494.5,6,97.13149197355996,658.5
NY,berlin,1344.0,1176.0,1478.0,5,148.8095238095238,302.0
NY,berne,1871.0,1219.25,2837.0,14,188.28312294443913,1617.75
NY,bernhards bay,2639.5,2163.75,3115.25,2,137.2727253230496,951.5
NY,bethel,1456.0,1034.0,2192.5,19,222.61370916079437,1158.5
NY,bethlehem,1972.0,1600.0,2678.0,116,192.45924403698064,1078.0
