model,rmse,mae,r2,mape,adjusted_r2,explained_variance,train_r2,train_rmse,overfit_gap_r2,best_params
XGBoost,246027.6811664661,144365.6446662868,0.7203246872870382,28.775779007942294,0.710175179970842,0.7233407878388249,0.987732338961809,51764.276343617785,0.26740765167477076,"{'subsample': 0.85, 'reg_lambda': 10.0, 'n_estimators': 600, 'min_child_weight': 10, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.6}"
GradientBoosting,248366.8875798358,144409.821396192,0.7149811551867069,29.349861516780052,0.7046377293668696,0.7185148243849478,0.8506381756381308,180621.34335472522,0.13565702045142392,"{'subsample': 0.85, 'n_estimators': 450, 'min_samples_split': 20, 'min_samples_leaf': 8, 'max_depth': 4, 'learning_rate': 0.05}"
RandomForest,264157.11902622366,148896.77510914768,0.6775882770722227,29.8155553054656,0.6658878516433921,0.6855104491671036,0.8459609784523258,183427.58104827243,0.16837270138010307,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': 16}"
SVR,264336.8862704038,158909.76796985936,0.6771493050799355,32.89042567048327,0.665432949215901,0.6801750620254696,0.8043171172388813,206740.55699944383,0.1271678121589458,"{'svr__gamma': 'scale', 'svr__epsilon': 0.3, 'svr__C': 1.0}"
DecisionTree,310184.4754633243,186369.55903482373,0.5554441789295137,38.654259941118966,0.5393111047777621,0.5584489328714457,0.6634036299178125,271146.48400528415,0.10795945098829884,"{'min_samples_split': 20, 'min_samples_leaf': 16, 'max_features': 0.8, 'max_depth': 8}"
Ridge,344461.41009293083,175364.33992857087,0.45176427060188895,34.55077592769194,0.4318686191317962,0.462433135614434,0.28940666706056417,393966.98368711985,-0.16235760354132478,"{'fit_intercept': True, 'alpha': 500.0}"
MLP_DeepLearning,395766.90076044825,197220.25750603728,0.27628908026286936,42.73135644075886,0.2500253775304735,0.2765096970006108,0.5268493146988782,321476.32863505784,0.25056023443600883,"{'mlp__learning_rate_init': 0.01, 'mlp__hidden_layer_sizes': (128, 64, 32), 'mlp__batch_size': 32, 'mlp__alpha': 0.05}"
LinearRegression,481291.0317056633,296349.3103775113,-0.07029063153751514,69.82390366396496,-0.10913182381105413,0.0005709722513853599,-0.08005297241283449,485704.12447834155,-0.009762340875319353,"{'positive': False, 'fit_intercept': True}"
