key,model,train_accuracy,test_accuracy,test_f1_macro,overfit_gap,cv_accuracy_mean,cv_accuracy_std,best_params
05_xgboost,XGBoost,0.9424460431654677,0.7511664074650077,0.7518776193235275,0.19127963570045992,0.7472314551167882,0.009624352236775317,"{'subsample': 0.85, 'reg_lambda': 10.0, 'n_estimators': 450, 'min_child_weight': 10, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.8}"
03_random_forest,Random Forest,0.8662259381683842,0.7488335925349923,0.747729551735715,0.11739234563339196,0.736731479695825,0.01258373967315936,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_depth': 14}"
04_svm,SVM (RBF kernel),0.8378378378378378,0.7325038880248833,0.7334525943098922,0.10533394981295452,0.7336201517850054,0.015277727929535068,"{'clf__gamma': 'scale', 'clf__C': 1.0}"
01_logistic_regression,Logistic Regression,0.7287575345129302,0.7192846034214619,0.7204365147030424,0.009472931091468295,0.7174836360336242,0.009707384559498844,"{'clf__penalty': 'l2', 'clf__C': 0.1}"
06_deep_learning,MLP (Deep Learning),0.7532568539762784,0.7146189735614308,0.7153538906674289,0.038637880414847614,0.7272050231988294,0.010812224353242948,"{'clf__learning_rate_init': 0.001, 'clf__hidden_layer_sizes': (64, 32), 'clf__alpha': 0.001}"
02_decision_tree,Decision Tree,0.7170911919113357,0.69751166407465,0.6999884257042014,0.019579527836685706,0.6836490794205397,0.013139850988671403,"{'min_samples_split': 20, 'min_samples_leaf': 32, 'max_depth': 6}"
