section,model,rmse,mae,r2,mape,adjusted_r2,explained_variance,train_r2,train_rmse,overfit_gap_r2,best_params,train_accuracy,test_accuracy,overfit_gap,cv_accuracy_mean,cv_accuracy_std,test_f1_macro
regression_holdout,XGBoost,246027.6811664661,144365.6446662868,0.7203246872870382,28.77577900794229,0.710175179970842,0.7233407878388249,0.987732338961809,51764.276343617785,0.2674076516747707,"{'subsample': 0.85, 'reg_lambda': 10.0, 'n_estimators': 600, 'min_child_weight': 10, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.6}",,,,,,
regression_holdout,GradientBoosting,248366.8875798358,144409.821396192,0.7149811551867069,29.34986151678005,0.7046377293668696,0.7185148243849478,0.8506381756381308,180621.3433547252,0.1356570204514239,"{'subsample': 0.85, 'n_estimators': 450, 'min_samples_split': 20, 'min_samples_leaf': 8, 'max_depth': 4, 'learning_rate': 0.05}",,,,,,
regression_holdout,RandomForest,264157.11902622366,148896.77510914768,0.6775882770722227,29.8155553054656,0.6658878516433921,0.6855104491671036,0.8459609784523258,183427.58104827243,0.168372701380103,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': 16}",,,,,,
regression_holdout,SVR,264336.8862704038,158909.76796985936,0.6771493050799355,32.89042567048327,0.665432949215901,0.6801750620254696,0.8043171172388813,206740.55699944383,0.1271678121589458,"{'svr__gamma': 'scale', 'svr__epsilon': 0.3, 'svr__C': 1.0}",,,,,,
regression_holdout,DecisionTree,310184.4754633243,186369.55903482373,0.5554441789295137,38.654259941118966,0.5393111047777621,0.5584489328714457,0.6634036299178125,271146.48400528415,0.1079594509882988,"{'min_samples_split': 20, 'min_samples_leaf': 16, 'max_features': 0.8, 'max_depth': 8}",,,,,,
regression_holdout,Ridge,344461.41009293083,175364.33992857087,0.4517642706018889,34.55077592769194,0.4318686191317962,0.462433135614434,0.2894066670605641,393966.9836871199,-0.1623576035413247,"{'fit_intercept': True, 'alpha': 500.0}",,,,,,
regression_holdout,MLP_DeepLearning,395766.90076044825,197220.25750603728,0.2762890802628693,42.73135644075886,0.2500253775304735,0.2765096970006108,0.5268493146988782,321476.32863505784,0.2505602344360088,"{'mlp__learning_rate_init': 0.01, 'mlp__hidden_layer_sizes': (128, 64, 32), 'mlp__batch_size': 32, 'mlp__alpha': 0.05}",,,,,,
regression_holdout,LinearRegression,481291.0317056633,296349.3103775113,-0.0702906315375151,69.82390366396496,-0.1091318238110541,0.0005709722513853,-0.0800529724128344,485704.1244783416,-0.0097623408753193,"{'positive': False, 'fit_intercept': True}",,,,,,
price_tier_classification,XGBoost,,,,,,,,,,,0.9424460431654677,0.7511664074650077,0.1912796357004599,0.7472314551167882,0.0096243522367753,0.7518776193235275
price_tier_classification,Random Forest,,,,,,,,,,,0.8662259381683842,0.7488335925349923,0.1173923456333919,0.736731479695825,0.0125837396731593,0.747729551735715
price_tier_classification,SVM (RBF kernel),,,,,,,,,,,0.8378378378378378,0.7325038880248833,0.1053339498129545,0.7336201517850054,0.015277727929535,0.7334525943098922
price_tier_classification,Logistic Regression,,,,,,,,,,,0.7287575345129302,0.7192846034214619,0.0094729310914682,0.7174836360336242,0.0097073845594988,0.7204365147030424
price_tier_classification,MLP (Deep Learning),,,,,,,,,,,0.7532568539762784,0.7146189735614308,0.0386378804148476,0.7272050231988294,0.0108122243532429,0.7153538906674289
price_tier_classification,Decision Tree,,,,,,,,,,,0.7170911919113357,0.69751166407465,0.0195795278366857,0.6836490794205397,0.0131398509886714,0.6999884257042014
